ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime
143.0,Neighbors,R,5/8/2014 0:00,"Brendan O'Brien, Andrew Jay Cohen, Andrew J. Cohen",Nicholas Stoller,Comedy,"$268,157,400.00 ",97 minutes
144.0,Chinese Zodiac,PG-13,10/17/2013 0:00,"Edward Tang, Stanley Tong, Frankie Chan Fan-Kei, Jackie Chan",Jackie Chan,Action & Adventure,-,141 minutes
145.0,Man on a Ledge,PG-13,1/26/2012 0:00,Pablo F. Fenjves,Asger Leth,"Drama, Mystery & Suspense","$18,400,000.00 ",102 minutes
146.0,A Case of You,R,11/5/2013 0:00,"Justin Long, Keir O'Donnell, Christian Long",Kat Coiro,"Comedy, Romance","$4,187.00 ",91 minutes
147.0,Butter,R,10/4/2012 0:00,Jason A. Micallef,Jim Field Smith,"Comedy, Drama","$70,931.00 ",91 minutes
148.0,So Undercover,PG-13,10/4/2012 0:00,"Allan Loeb, Steven Pearl, Steve Pearl",Tom Vaughan,"Action & Adventure, Comedy",-,96 minutes
149.0,The Devil Inside,R,1/5/2012 0:00,"Matthew Peterman, William Brent Bell",William Brent Bell,Horror,"$53,245,055.00 ",83 minutes
150.0,Enemy,R,3/13/2014 0:00,"Javier Gullón, José Saramago",Denis Villeneuve,Mystery & Suspense,-,90 minutes
151.0,Sicario,R,10/1/2015 0:00,Taylor Sheridan,Denis Villeneuve,"Action & Adventure, Drama, Mystery & Suspense","$84,025,816.00 ",121 minutes
152.0,Bounty Killer,R,9/5/2013 0:00,"Jason Dodson, Colin Ebeling, Jason Netter, Henry Saine",Henry Saine,"Action & Adventure, Drama, Mystery & Suspense",-,92 minutes
153.0,Empire State,R,8/29/2013 0:00,Adam Mazer,Dito Montiel,Drama,"$3,639,345.00 ",94 minutes
154.0,The Loft,R,1/29/2015 0:00,"Bart De Pauw, Wesley Strick",Erik Van Looy,"Drama, Mystery & Suspense",-,103 minutes
155.0,The Descendants,R,11/17/2011 0:00,"Jim Rash, Nat Faxon, Alexander Payne",Alexander Payne,"Comedy, Drama","$78,500,000.00 ",115 minutes
156.0,Vehicle 19,R,6/13/2013 0:00,Mukunda Michael Dewil,Mukunda Michael Dewil,Mystery & Suspense,-,85 minutes
157.0,Vampire Academy,PG-13,2/6/2014 0:00,Daniel Waters,"Mark Waters, Mark Waters (VIII)","Action & Adventure, Comedy, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance",-,105 minutes
158.0,Final Destination 5,R,8/11/2011 0:00,Eric Heisserer,Steven Quale,Horror,"$42,500,000.00 ",92 minutes
159.0,Amateur Night,NR,8/4/2016 0:00,"Joe Syracuse, Lisa Addario","Joe Syracuse, Lisa Addario",Comedy,-,93 minutes
160.0,Contraband,R,1/12/2012 0:00,Aaron Guzikowski,Baltasar Kormákur,"Action & Adventure, Mystery & Suspense","$66,489,425.00 ",109 minutes
